val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.Ox.weV,val.Ox.cnc,val.Ox.aeV,val.Ox.weC,val.NO.weV,val.NO.cnc,val.NO.aeV,val.NO.weC,val.CO.weV,val.CO.cnc,val.CO.aeV,val.CO.weC,val.sht.hmd,val.sht.tmp,rec,tag
0.29963,-4.7,0.29663,-0.001209,0.399194,19,0.401944,0.005733,0.311005,80.5,0.312505,0.031005,0.512445,475.7,0.202628,0.136521,62.4,24,2018-09-03T00:13:10.068+00:00,scs-bgb-413
0.299692,-4.4,0.29663,-0.001144,0.399131,18,0.401881,0.005426,0.31088,80.2,0.312317,0.03088,0.51207,476.2,0.202691,0.136669,62.4,23.9,2018-09-03T00:13:20.079+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399131,18.2,0.401881,0.00551,0.310817,80,0.31238,0.030817,0.512258,473,0.202128,0.135764,62.4,24,2018-09-03T00:13:30.085+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001206,0.399256,19.1,0.401944,0.005782,0.311005,80.5,0.312567,0.031005,0.512258,471.4,0.201316,0.135298,62.4,23.9,2018-09-03T00:13:40.067+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399194,19.4,0.402006,0.005845,0.310692,79.7,0.312317,0.030692,0.51182,469.5,0.201628,0.134756,62.4,24,2018-09-03T00:13:50.079+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399069,18.4,0.401944,0.00556,0.310755,79.9,0.31238,0.030755,0.513133,480.8,0.203316,0.137993,62.4,24,2018-09-03T00:14:00.090+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399256,19.7,0.402006,0.005955,0.310692,79.7,0.31238,0.030692,0.51232,478.7,0.203503,0.137394,62.4,24,2018-09-03T00:14:10.090+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399006,18.2,0.401944,0.005497,0.310942,80.4,0.312442,0.030942,0.511695,474.8,0.203066,0.13627,62.4,24,2018-09-03T00:14:20.078+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399131,18.8,0.401944,0.00567,0.31088,80.2,0.312442,0.03088,0.511883,473.5,0.202566,0.135888,62.4,24,2018-09-03T00:14:30.068+00:00,scs-bgb-413
0.29963,-4.3,0.296567,-0.001094,0.399194,18.7,0.401944,0.005637,0.310692,79.7,0.312317,0.030692,0.51182,467.3,0.201066,0.134115,62.4,24,2018-09-03T00:14:40.067+00:00,scs-bgb-413
0.299692,-4,0.296567,-0.001031,0.399256,18.6,0.401944,0.005628,0.310755,79.9,0.31238,0.030755,0.51232,470.8,0.201503,0.135114,62.4,24,2018-09-03T00:14:50.074+00:00,scs-bgb-413
0.299567,-4.5,0.296567,-0.001154,0.399069,17.8,0.401881,0.005387,0.310817,80,0.31238,0.030817,0.511883,472.1,0.201816,0.13549,62.4,23.9,2018-09-03T00:15:00.082+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399131,18.6,0.401944,0.005622,0.310817,80,0.312442,0.030817,0.512258,475.5,0.202753,0.136476,62.4,24,2018-09-03T00:15:10.074+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399069,18,0.401881,0.005448,0.310755,79.9,0.31238,0.030755,0.51182,474.5,0.202878,0.136181,62.4,24,2018-09-03T00:15:20.079+00:00,scs-bgb-413
0.299755,-4.2,0.29663,-0.001081,0.399069,18.1,0.401944,0.005475,0.310692,79.7,0.312255,0.030692,0.511758,474.9,0.202628,0.136286,62.4,23.9,2018-09-03T00:15:30.076+00:00,scs-bgb-413
0.299692,-4.9,0.296692,-0.001261,0.399131,19.5,0.402006,0.005878,0.310817,80,0.312442,0.030817,0.512195,474.6,0.202566,0.1362,62.4,24,2018-09-03T00:15:40.068+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399194,18.8,0.401944,0.005685,0.310755,79.9,0.31238,0.030755,0.51257,475.1,0.202378,0.136361,62.4,24,2018-09-03T00:15:50.080+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399194,18.8,0.401944,0.005685,0.310817,80,0.312505,0.030817,0.512758,478.3,0.203003,0.137261,62.4,24,2018-09-03T00:16:00.091+00:00,scs-bgb-413
